filename,id,p1,p1prob,p2,p2prob,p3,p3prob,p4,p4prob,p5,p5prob
h1-Savoye_LET-001,1,Savoye_LET,0.9999998807907104,Hoefler_Text,9.885496154993234e-08,Baskerville,5.583092654859456e-09,Snell_Roundhand,2.7308868499886785e-09,Kai,7.381368849479486e-10
h1-Zapfino-002,2,Zapfino,1.0,Hoefler_Text,1.3891306453652635e-15,Impact,7.766676439248399e-16,Hobo_std,7.717267419248279e-16,Kai,3.106489456646025e-19
p-Snell_Roundhand-001,3,Snell_Roundhand,0.9994756579399109,Copperplate,0.00043301237747073174,Zapfino,8.884129056241363e-05,Prestige_Elite_Std,2.053667685686378e-06,Orator_Std,3.34808845536827e-07
